LOAN_ID,ORIG_CHN,SELLER,orig_rt,orig_amt,orig_trm,orig_date,first_pay,oltv,ocltv,num_bo,dti,CSCORE_B,CSCORE_C,FTHB_FLG,purpose,PROP_TYP,NUM_UNIT,occ_stat,state,zip_3,mi_pct,prod_type,MI_TYPE,relo_flg
000137607799,R,Other,5.75,109000.0,180,2023-06-01,2024-02-01,19.0,19.0,2,30.0,794,802,N,R,SF,1,P,WA,991,,FRM,,N
000137746376,C,Other,5.375,465000.0,360,2023-12-01,2024-02-01,80.0,80.0,1,40.0,779,,Y,P,PU,1,P,GA,300,,FRM,,N
000137749388,C,"CitiMortgage, Inc.",6.5,593000.0,360,2024-01-01,2024-03-01,75.0,75.0,2,30.0,774,783,Y,P,PU,1,P,VA,201,,FRM,,N
000137988392,R,"loanDepot.com, LLC",7.99,394000.0,360,2024-01-01,2024-03-01,75.0,75.0,2,48.0,761,755,N,P,SF,1,I,CA,936,,FRM,,N
000137802415,R,"CrossCountry Mortgage, LLC",6.875,170000.0,360,2024-01-01,2024-03-01,80.0,80.0,1,27.0,779,,Y,P,SF,1,P,LA,705,,FRM,,N
000137627650,R,"DHI Mortgage Company, Ltd.",5.99,291000.0,360,2023-12-01,2024-02-01,97.0,97.0,1,41.0,736,,Y,P,PU,1,P,LA,708,35.0,FRM,1,N
000137757523,R,Other,6.625,549000.0,360,2024-01-01,2024-03-01,90.0,90.0,1,38.0,801,,N,P,PU,1,P,AZ,852,25.0,FRM,1,N
000137781850,R,"loanDepot.com, LLC",6.99,378000.0,360,2023-12-01,2024-02-01,90.0,90.0,2,44.0,793,804,Y,P,PU,1,P,ID,836,25.0,FRM,1,N
000137643179,R,Other,7.625,104000.0,360,2023-12-01,2024-02-01,80.0,80.0,1,30.0,725,,N,C,SF,1,P,MO,648,,FRM,,N
000137586058,R,Other,6.25,148000.0,360,2023-12-01,2024-02-01,80.0,80.0,1,33.0,794,,Y,P,CO,1,P,WA,980,,FRM,,N
000137957198,C,"AmeriHome Mortgage Company, LLC",7.125,441000.0,360,2024-02-01,2024-04-01,97.0,97.0,2,32.0,770,780,Y,P,SF,1,P,CA,953,35.0,FRM,1,N
000137798463,C,"United Wholesale Mortgage, LLC",5.999,229000.0,360,2024-01-01,2024-03-01,80.0,80.0,1,46.0,793,,N,P,PU,1,P,FL,335,,FRM,,N
000137995140,C,U.S. Bank N.A.,8.0,144000.0,360,2024-01-01,2024-03-01,90.0,94.0,1,47.0,732,,N,P,SF,1,P,IL,604,12.0,FRM,1,N
